# cluster 0 centroid,0.22532,0.0848059
# index,x0,x1
113,0.216052,0.0866387
# cluster 16 centroid,0.358948,0.0478932
# index,x0,x1
65,0.327764,0.0311492
153,0.362444,0.0304427
159,0.41236,0.0247576
268,0.353495,0.0462824
340,0.344077,0.0788157
364,0.357264,0.0783968
434,0.354451,0.0551713
494,0.337643,0.0713165
716,0.325618,0.0321767
808,0.334892,0.098172
884,0.380209,0.015987
911,0.417161,0.0120506
# cluster 17 centroid,0.924892,0.849758
# index,x0,x1
18,0.986303,0.834892
45,0.897529,0.855442
52,0.88178,0.854545
115,0.903705,0.856967
234,0.894982,0.872798
272,0.999795,0.835283
289,0.952555,0.841915
529,0.982817,0.855332
636,0.873625,0.890289
725,0.939854,0.82985
736,0.887688,0.858328
853,0.898822,0.862203
970,0.941592,0.847046
997,0.907442,0.801718
# cluster 18 centroid,0.484671,0.945549
# index,x0,x1
167,0.498659,0.987642
404,0.450825,0.922761
641,0.52256,0.939409
770,0.45463,0.948816
844,0.49668,0.929116
# cluster 19 centroid,0.206562,0.824857
# index,x0,x1
170,0.211691,0.838733
191,0.221825,0.804008
201,0.194412,0.792659
944,0.198319,0.864029
# cluster 20 centroid,0.0272005,0.492639
# index,x0,x1
129,0.0406755,0.516341
204,0.0494078,0.495318
339,0.00209747,0.52002
512,0.0656574,0.496408
651,0.00261033,0.465841
700,0.00995312,0.476185
709,0.0309184,0.500244
829,0.0162837,0.470756
# cluster 21 centroid,0.8935,0.974172
# index,x0,x1
309,0.853694,0.997187
620,0.89498,0.997547
628,0.892203,0.98921
849,0.863329,0.965288
912,0.894751,0.914959
931,0.952272,0.994581
966,0.903274,0.960434
# cluster 22 centroid,0.205868,0.184165
# index,x0,x1
4,0.205428,0.1913
123,0.210055,0.183331
343,0.212695,0.180106
779,0.225967,0.207468
868,0.186366,0.167196
869,0.194695,0.175589
# cluster 23 centroid,0.055834,0.18085
# index,x0,x1
89,0.0569976,0.189136
134,0.0339405,0.18905
156,0.0838959,0.219265
174,0.0753611,0.164335
246,0.0484153,0.206505
545,0.0986526,0.20167
579,0.00193171,0.196312
588,0.0293338,0.163481
690,0.0499361,0.127982
820,0.0663237,0.178041
827,0.0317924,0.152523
870,0.0934276,0.181899
# cluster 24 centroid,0.266063,0.862092
# index,x0,x1
46,0.295151,0.853716
383,0.261042,0.875754
658,0.258222,0.879691
737,0.293625,0.873633
768,0.231408,0.854368
809,0.268882,0.833559
826,0.27145,0.889243
835,0.248719,0.836768
# cluster 25 centroid,0.0364656,0.587274
# index,x0,x1
38,0.0299681,0.567256
124,0.0257399,0.56267
241,0.0631793,0.588097
312,0.00811236,0.572352
439,0.00398134,0.637404
462,0.00872199,0.602918
466,0.0368716,0.639545
591,0.0523472,0.552556
854,0.0590796,0.548039
859,0.0766547,0.601901
# cluster 26 centroid,0.444078,0.367827
# index,x0,x1
218,0.461099,0.387927
381,0.458474,0.354983
546,0.414097,0.379355
644,0.44264,0.349043
# cluster 27 centroid,0.61004,0.679851
# index,x0,x1
171,0.612723,0.695102
235,0.612591,0.648099
557,0.596323,0.686723
608,0.618523,0.689479
# cluster 28 centroid,0.364992,0.304621
# index,x0,x1
482,0.375302,0.293997
659,0.362245,0.305326
842,0.357427,0.31454
# cluster 29 centroid,0.479083,0.793792
# index,x0,x1
70,0.465062,0.805375
188,0.486791,0.792372
193,0.518293,0.783335
487,0.441708,0.798674
769,0.483562,0.789204
# cluster 30 centroid,0.530539,0.833218
# index,x0,x1
122,0.541035,0.820857
136,0.533747,0.826568
237,0.549399,0.831313
523,0.520687,0.828976
561,0.507829,0.858378
# cluster 31 centroid,0.452942,0.881187
# index,x0,x1
298,0.461403,0.855689
330,0.441216,0.896463
357,0.475575,0.890835
393,0.463959,0.875641
457,0.423125,0.894087
583,0.438336,0.902433
832,0.478583,0.846872
881,0.461998,0.868429
885,0.432287,0.900236
# cluster 32 centroid,0.912773,0.408761
# index,x0,x1
92,0.883445,0.366403
162,0.928781,0.446151
197,0.897727,0.439533
273,0.912636,0.422698
306,0.914724,0.364313
359,0.910874,0.409564
592,0.925254,0.368567
623,0.888886,0.409507
689,0.924203,0.425624
744,0.891612,0.409098
780,0.950736,0.436209
953,0.924395,0.407464
# cluster 33 centroid,0.74628,0.383734
# index,x0,x1
9,0.784898,0.374863
82,0.772721,0.370653
227,0.747408,0.430245
288,0.696398,0.361481
307,0.706324,0.356747
360,0.775517,0.37873
619,0.755166,0.415635
673,0.747252,0.383563
699,0.734429,0.367242
721,0.729372,0.375965
945,0.759597,0.405952
# cluster 34 centroid,0.208101,0.915417
# index,x0,x1
20,0.244564,0.918837
102,0.204441,0.88039
157,0.182491,0.889436
370,0.256803,0.923107
382,0.221675,0.935206
402,0.172877,0.904495
467,0.242116,0.91786
495,0.188836,0.938755
602,0.231625,0.949421
668,0.189678,0.886516
688,0.181344,0.914242
996,0.180754,0.926745
# cluster 35 centroid,0.204854,0.422981
# index,x0,x1
30,0.213593,0.451319
407,0.211594,0.410148
481,0.220906,0.389667
666,0.173324,0.440788
# cluster 36 centroid,0.345144,0.168607
# index,x0,x1
1,0.346621,0.162113
228,0.337049,0.166308
518,0.351762,0.177401
# cluster 37 centroid,0.375198,0.578496
# index,x0,x1
327,0.389621,0.594239
331,0.354879,0.599221
443,0.387957,0.564454
517,0.371461,0.552865
789,0.381719,0.568517
974,0.365548,0.591679
# cluster 38 centroid,0.349682,0.438377
# index,x0,x1
239,0.346863,0.441339
321,0.332774,0.426265
369,0.364453,0.452196
802,0.373774,0.440474
975,0.330549,0.431612
# cluster 39 centroid,0.659664,0.606334
# index,x0,x1
61,0.706733,0.609529
152,0.661005,0.641303
238,0.696841,0.590384
290,0.615051,0.594044
294,0.615726,0.614869
356,0.634156,0.587902
528,0.690455,0.561239
609,0.660475,0.626147
852,0.657044,0.609381
894,0.670581,0.597571
961,0.653002,0.609038
968,0.654898,0.634598
# cluster 40 centroid,0.406951,0.722756
# index,x0,x1
6,0.419729,0.750635
205,0.40077,0.699287
376,0.398668,0.754594
426,0.394757,0.709247
499,0.379191,0.718499
613,0.407412,0.679436
670,0.435545,0.764858
987,0.419539,0.705493
# cluster 41 centroid,0.268664,0.77018
# index,x0,x1
66,0.268063,0.804929
119,0.262794,0.744795
135,0.256641,0.780501
492,0.279595,0.780273
503,0.306144,0.770419
509,0.248425,0.760536
538,0.256459,0.784171
569,0.237715,0.776215
937,0.292191,0.734716
979,0.278615,0.765249
# cluster 42 centroid,0.082223,0.925284
# index,x0,x1
17,0.0173287,0.937954
210,0.121351,0.89809
248,0.105721,0.962725
384,0.0737275,0.87756
386,0.0261409,0.996606
731,0.0914002,0.951666
742,0.142791,0.904336
906,0.0704567,0.894345
982,0.0910906,0.904273
# cluster 43 centroid,0.512002,0.522253
# index,x0,x1
29,0.535713,0.518171
36,0.528189,0.499754
203,0.492807,0.51639
505,0.493117,0.531967
797,0.521948,0.514529
855,0.495345,0.535157
989,0.516896,0.539806
# cluster 44 centroid,0.193963,0.0102097
# index,x0,x1
520,0.211118,0.00944279
696,0.201331,0.000232295
817,0.169438,0.020954
# cluster 45 centroid,0.361955,0.659501
# index,x0,x1
216,0.358331,0.643905
254,0.373986,0.63162
292,0.367538,0.663481
300,0.355062,0.660092
436,0.354259,0.682357
586,0.362557,0.67555
# cluster 46 centroid,0.922915,0.736665
# index,x0,x1
14,0.931052,0.699607
23,0.942496,0.688985
44,0.870648,0.71563
274,0.868372,0.790488
560,0.965455,0.723621
610,0.908424,0.758553
648,0.860628,0.752678
667,0.950212,0.716483
682,0.969845,0.716274
685,0.965774,0.684304
719,0.979354,0.750738
828,0.960647,0.736268
909,0.94122,0.760378
926,0.888258,0.786874
932,0.90459,0.721105
939,0.941733,0.764175
940,0.883161,0.72027
954,0.880602,0.773532
# cluster 47 centroid,0.623773,0.744508
# index,x0,x1
240,0.646567,0.728746
479,0.632435,0.759507
712,0.61753,0.736851
791,0.598558,0.752927
# cluster 48 centroid,0.0481262,0.25347
# index,x0,x1
375,0.0330546,0.259475
377,0.0192129,0.24469
417,0.086352,0.263493
726,0.0130749,0.221381
748,0.0932007,0.24903
759,0.00329316,0.280409
843,0.0120476,0.23974
878,0.0728394,0.283827
959,0.100061,0.239187
# cluster 49 centroid,0.0568764,0.440562
# index,x0,x1
163,0.0721266,0.463406
212,0.0304777,0.455889
432,0.093216,0.441721
447,0.0147217,0.420294
542,0.0762095,0.445234
553,0.0143077,0.428706
556,0.0845552,0.458305
558,0.0464872,0.452037
572,0.0934895,0.459787
631,0.0770887,0.429415
650,0.0312742,0.449315
715,0.0437305,0.420876
782,0.0339592,0.460434
867,0.080598,0.420158
919,0.0609038,0.402847
# cluster 50 centroid,0.236692,0.344826
# index,x0,x1
90,0.241994,0.364983
502,0.259016,0.360838
535,0.215378,0.303346
632,0.258119,0.36024
749,0.204689,0.313522
921,0.240955,0.366024
# cluster 51 centroid,0.832565,0.531329
# index,x0,x1
35,0.786789,0.502921
95,0.786815,0.548227
145,0.856265,0.56792
164,0.850252,0.540939
281,0.834139,0.516131
334,0.818406,0.573295
566,0.845696,0.518985
580,0.842224,0.505156
589,0.855697,0.517074
590,0.830297,0.544483
655,0.790651,0.534427
774,0.862247,0.531834
825,0.85407,0.508144
838,0.847783,0.56037
846,0.827151,0.500028
# cluster 52 centroid,0.463654,0.149085
# index,x0,x1
106,0.444183,0.157434
379,0.47583,0.139495
582,0.435783,0.121689
965,0.498819,0.177723
# cluster 53 centroid,0.0556726,0.711124
# index,x0,x1
2,0.0184462,0.711462
68,0.110818,0.70457
88,0.131574,0.708284
148,0.0983243,0.685054
176,0.0142838,0.672541
264,0.100723,0.706866
496,0.0386176,0.692825
533,0.0702324,0.668235
587,0.00611322,0.716955
694,0.0851069,0.766257
804,0.0433669,0.698607
839,0.0511945,0.701663
934,0.00239248,0.728294
935,0.00351393,0.746637
958,0.0603814,0.758615
# cluster 54 centroid,0.667851,0.797483
# index,x0,x1
87,0.609232,0.811841
435,0.65412,0.808913
549,0.667417,0.799397
576,0.652333,0.771401
634,0.662287,0.78319
637,0.65367,0.827386
840,0.702035,0.781209
962,0.687544,0.813805
981,0.722021,0.780205
# cluster 55 centroid,0.430542,0.97888
# index,x0,x1
27,0.446154,0.952599
93,0.414172,0.981947
140,0.439202,0.968292
452,0.435116,0.98011
536,0.427929,0.990532
552,0.387082,0.997923
672,0.463549,0.982853
824,0.418222,0.986198
908,0.443451,0.969463
# cluster 56 centroid,0.50312,0.634047
# index,x0,x1
63,0.525237,0.628298
451,0.479315,0.673643
463,0.506522,0.671941
477,0.482717,0.612342
675,0.492855,0.670508
679,0.537857,0.595731
764,0.539226,0.590865
890,0.532074,0.598416
949,0.480632,0.629176
992,0.454764,0.66955
# cluster 57 centroid,0.808761,0.724172
# index,x0,x1
10,0.79413,0.767887
26,0.80779,0.770995
47,0.791519,0.751718
55,0.787793,0.700626
121,0.856231,0.696669
168,0.847998,0.760226
249,0.763888,0.76205
277,0.862953,0.720231
674,0.798516,0.750997
691,0.842353,0.699909
692,0.835518,0.742658
723,0.806274,0.705803
757,0.843054,0.673734
860,0.770975,0.693703
864,0.784584,0.66554
914,0.761786,0.714829
933,0.79357,0.733356
# cluster 58 centroid,0.611498,0.161196
# index,x0,x1
128,0.58654,0.149003
222,0.606481,0.194499
472,0.657504,0.169298
480,0.598383,0.174692
751,0.61187,0.166243
803,0.611597,0.126888
872,0.608112,0.147748
# cluster 59 centroid,0.211291,0.742839
# index,x0,x1
12,0.239835,0.755322
33,0.192776,0.714816
69,0.223522,0.756267
105,0.177846,0.735889
165,0.22821,0.755198
285,0.206615,0.744274
305,0.232044,0.762009
598,0.189483,0.718938
# cluster 60 centroid,0.205371,0.514933
# index,x0,x1
131,0.201138,0.517281
150,0.202722,0.535143
207,0.211086,0.506791
661,0.22428,0.508769
897,0.245796,0.478125
930,0.172613,0.523905
960,0.179963,0.534516
# cluster 61 centroid,0.47916,0.0741151
# index,x0,x1
34,0.467984,0.0166372
78,0.449385,0.0725207
138,0.476143,0.0364652
184,0.439101,0.0998549
263,0.485633,0.119137
430,0.487774,0.0554493
448,0.464053,0.110401
471,0.518569,0.0670147
671,0.506937,0.0523738
693,0.496019,0.111297
# cluster 62 centroid,0.22362,0.0569067
# index,x0,x1
# cluster 63 centroid,0.819917,0.323933
# index,x0,x1
71,0.798546,0.323553
217,0.865004,0.353338
223,0.816647,0.304219
295,0.811427,0.325183
850,0.848109,0.332115
874,0.800174,0.317392
918,0.785369,0.322406
995,0.834061,0.31326
# cluster 64 centroid,0.402211,0.860506
# index,x0,x1
220,0.390025,0.865956
291,0.40222,0.818612
446,0.387996,0.871804
468,0.41142,0.886961
627,0.420131,0.874165
645,0.401474,0.845538
# cluster 65 centroid,0.691082,0.693154
# index,x0,x1
7,0.662152,0.718423
96,0.664289,0.70675
169,0.718951,0.709853
177,0.741325,0.661465
410,0.681171,0.681074
424,0.680131,0.694551
475,0.689554,0.679965
# cluster 66 centroid,0.1459,0.484033
# index,x0,x1
319,0.148803,0.527065
465,0.159242,0.493374
515,0.130794,0.43826
603,0.152998,0.450297
629,0.122482,0.539365
905,0.16101,0.463133
977,0.145972,0.476737
# cluster 67 centroid,0.166898,0.627727
# index,x0,x1
141,0.207865,0.644707
275,0.16187,0.611203
299,0.17179,0.575611
303,0.139448,0.680097
335,0.116362,0.584784
387,0.173112,0.640156
544,0.181827,0.671705
555,0.161027,0.654049
559,0.180108,0.593035
787,0.192557,0.617107
822,0.140901,0.660154
917,0.175912,0.600118
# cluster 68 centroid,0.6651,0.29324
# index,x0,x1
286,0.666738,0.26824
318,0.659271,0.233165
423,0.686515,0.347677
438,0.690637,0.324895
440,0.630696,0.288231
540,0.627463,0.290999
596,0.698543,0.301117
606,0.62887,0.285361
705,0.670923,0.264759
861,0.691343,0.327961
# cluster 69 centroid,0.451363,0.306766
# index,x0,x1
676,0.45072,0.295317
729,0.44601,0.300364
795,0.475385,0.331129
845,0.426275,0.304955
993,0.458426,0.302063
# cluster 70 centroid,0.040036,0.823696
# index,x0,x1
62,0.014932,0.86312
101,0.0273189,0.814795
421,0.0331037,0.79779
455,0.0783177,0.843156
654,0.0679524,0.81499
740,0.0383666,0.843572
830,0.00818503,0.808461
873,0.0472276,0.839592
907,0.0367299,0.836934
910,0.0482261,0.774548
# cluster 71 centroid,0.297671,0.676022
# index,x0,x1
310,0.27384,0.676032
350,0.314679,0.649865
680,0.309177,0.69332
924,0.304181,0.687042
941,0.286477,0.673851
# cluster 72 centroid,0.59913,0.0226697
# index,x0,x1
53,0.638823,0.017479
208,0.655866,0.000506051
325,0.545808,0.0232832
348,0.624448,0.00972057
361,0.59003,0.00128221
441,0.60208,0.042445
504,0.605402,0.0737376
625,0.594874,0.0430542
796,0.590106,0.037256
879,0.598827,0.00395131
936,0.539377,0.0147852
947,0.603915,0.00453663
# cluster 73 centroid,0.379004,0.139331
# index,x0,x1
190,0.40341,0.158556
224,0.381199,0.149681
409,0.332652,0.115455
697,0.377403,0.145821
761,0.400356,0.127142
# cluster 74 centroid,0.236992,0.575953
# index,x0,x1
181,0.270995,0.554805
233,0.247109,0.558744
754,0.239268,0.60212
763,0.205812,0.580777
765,0.221775,0.583316
# cluster 75 centroid,0.918313,0.496722
# index,x0,x1
183,0.907275,0.555967
243,0.985027,0.50741
329,0.889548,0.489835
378,0.97522,0.517271
388,0.918155,0.502304
419,0.870912,0.474252
618,0.902373,0.532889
656,0.924288,0.467666
701,0.98868,0.50035
738,0.937593,0.460142
834,0.869427,0.456734
880,0.882277,0.501206
887,0.933987,0.473341
964,0.897831,0.527872
983,0.892105,0.48359
# cluster 76 centroid,0.0559089,0.342342
# index,x0,x1
296,0.0460919,0.338986
389,0.0667093,0.332579
551,0.0605977,0.354594
624,0.0660229,0.327098
946,0.0401229,0.358453
# cluster 77 centroid,0.544293,0.232686
# index,x0,x1
225,0.556706,0.236543
311,0.550362,0.211383
526,0.533719,0.240035
776,0.536384,0.242783
# cluster 78 centroid,0.363473,0.374791
# index,x0,x1
230,0.354103,0.395131
394,0.348391,0.358083
511,0.343737,0.371526
816,0.369488,0.395589
986,0.401646,0.353625
# cluster 79 centroid,0.557201,0.759619
# index,x0,x1
192,0.553238,0.793663
564,0.546338,0.739316
788,0.572027,0.745878
# cluster 80 centroid,0.22713,0.24949
# index,x0,x1
308,0.223931,0.234648
358,0.239,0.248133
371,0.216976,0.240592
508,0.228766,0.248269
605,0.226978,0.27581
# cluster 81 centroid,0.380874,0.494725
# index,x0,x1
72,0.382146,0.47838
396,0.3789,0.498625
543,0.381514,0.513098
857,0.380937,0.488797
# cluster 82 centroid,0.633224,0.524172
# index,x0,x1
25,0.646421,0.562363
54,0.615023,0.536242
58,0.616051,0.518563
236,0.631002,0.477024
265,0.668056,0.517969
347,0.586824,0.531182
355,0.625786,0.526771
599,0.630879,0.510689
615,0.673846,0.548275
730,0.658126,0.510039
747,0.588032,0.531066
773,0.599765,0.561248
814,0.660184,0.512702
877,0.665138,0.494276
# cluster 83 centroid,0.106948,0.372242
# index,x0,x1
139,0.135528,0.384914
219,0.0823526,0.383928
444,0.115425,0.332083
806,0.0944878,0.388042
# cluster 84 centroid,0.966632,0.624426
# index,x0,x1
15,0.971657,0.582933
114,0.928509,0.573716
130,0.963139,0.626649
147,0.951797,0.666129
179,0.9623,0.537524
232,0.949623,0.644764
242,0.974244,0.613546
251,0.991028,0.657315
271,0.964312,0.624079
317,0.975476,0.675245
353,0.988725,0.597248
406,0.964517,0.656654
978,0.980893,0.661737
# cluster 85 centroid,0.612091,0.967461
# index,x0,x1
24,0.590163,0.976555
32,0.640739,0.995829
418,0.650138,0.970535
464,0.620935,0.9423
522,0.567941,0.974672
574,0.575249,0.953478
630,0.63947,0.95886
# cluster 86 centroid,0.364154,0.944928
# index,x0,x1
425,0.349709,0.978342
594,0.373506,0.91085
626,0.370432,0.948815
790,0.351885,0.967613
863,0.387722,0.937948
889,0.351672,0.925998
# cluster 87 centroid,0.64497,0.911071
# index,x0,x1
77,0.688112,0.924022
79,0.646424,0.896022
91,0.674003,0.948035
97,0.652277,0.917912
326,0.653505,0.923188
344,0.61543,0.901096
527,0.62811,0.876278
928,0.601898,0.902016
# cluster 88 centroid,0.957089,0.917431
# index,x0,x1
22,0.964147,0.90209
76,0.967394,0.879016
180,0.921836,0.908614
206,0.971827,0.947752
231,0.98686,0.9307
260,0.963491,0.943934
270,0.917244,0.904884
433,0.928725,0.911972
449,0.984056,0.92164
831,0.965307,0.923706
# cluster 89 centroid,0.955233,0.153466
# index,x0,x1
43,0.942166,0.175261
351,0.952943,0.137586
368,0.956513,0.114298
469,0.944927,0.129774
601,0.979805,0.158617
638,0.99103,0.183759
752,0.987019,0.181858
793,0.928467,0.179513
815,0.914222,0.120529
# cluster 90 centroid,0.557846,0.891209
# index,x0,x1
60,0.585284,0.865586
103,0.556243,0.889668
116,0.554229,0.898084
278,0.526812,0.912034
450,0.562751,0.888406
669,0.538641,0.879155
777,0.558386,0.870287
866,0.575656,0.892491
963,0.562612,0.925174
# cluster 91 centroid,0.717687,0.493114
# index,x0,x1
8,0.737832,0.454868
100,0.722966,0.469755
256,0.702377,0.457946
422,0.743053,0.445551
500,0.70692,0.522647
507,0.725078,0.513686
510,0.746917,0.506079
534,0.668929,0.476957
762,0.719878,0.518652
819,0.682515,0.518483
821,0.700618,0.517356
893,0.721586,0.511988
950,0.751263,0.496508
# cluster 92 centroid,0.155819,0.252823
# index,x0,x1
244,0.180594,0.269304
255,0.167583,0.245724
259,0.121448,0.273014
573,0.184849,0.263998
798,0.124621,0.212074
# cluster 93 centroid,0.755609,0.59066
# index,x0,x1
37,0.736721,0.571923
110,0.766908,0.567897
160,0.744322,0.63239
341,0.77783,0.577003
365,0.734081,0.592073
728,0.77379,0.602671
# cluster 94 centroid,0.629514,0.390093
# index,x0,x1
108,0.624021,0.396601
211,0.661516,0.39418
324,0.592316,0.358013
367,0.620194,0.415992
374,0.677145,0.432305
478,0.600642,0.333039
498,0.579265,0.382355
633,0.652912,0.378126
662,0.62187,0.428451
686,0.631561,0.396488
743,0.639491,0.402823
750,0.625582,0.334338
901,0.657162,0.418499
# cluster 95 centroid,0.351612,0.82119
# index,x0,x1
28,0.348557,0.843619
195,0.357024,0.772598
199,0.373406,0.794166
548,0.372764,0.830501
858,0.331409,0.838693
915,0.33527,0.859543
998,0.342852,0.809207
# cluster 96 centroid,0.512026,0.727324
# index,x0,x1
175,0.475244,0.738194
214,0.47363,0.737246
333,0.52284,0.749975
400,0.538219,0.70491
459,0.501283,0.748927
470,0.51306,0.724174
570,0.514529,0.701737
706,0.553696,0.71159
746,0.51573,0.729161
# cluster 97 centroid,0.263402,0.28677
# index,x0,x1
491,0.261602,0.301707
607,0.257646,0.268635
612,0.270957,0.289968
# cluster 98 centroid,0.263939,0.412999
# index,x0,x1
0,0.246465,0.408524
173,0.270581,0.40983
209,0.258489,0.428773
385,0.248011,0.380192
445,0.249996,0.385637
473,0.262656,0.448586
483,0.284694,0.41847
642,0.282052,0.380074
756,0.272508,0.4569
# cluster 99 centroid,0.545333,0.106768
# index,x0,x1
57,0.531427,0.123477
104,0.527993,0.119829
187,0.537743,0.109003
250,0.531197,0.0680524
257,0.544406,0.128112
519,0.563971,0.115255
647,0.58746,0.0821385
707,0.549005,0.0688087
811,0.540948,0.16364
888,0.539181,0.0893673
# cluster 100 centroid,0.883671,0.192185
# index,x0,x1
133,0.859034,0.174343
172,0.849391,0.195821
485,0.940334,0.231703
537,0.891312,0.12384
745,0.894533,0.177328
925,0.900988,0.222009
957,0.863201,0.206965
980,0.881447,0.214929
984,0.872795,0.182725
# cluster 101 centroid,0.156013,0.303261
# index,x0,x1
83,0.147477,0.27971
279,0.19607,0.291588
390,0.168466,0.310525
493,0.137091,0.318643
664,0.149341,0.319927
848,0.175787,0.314354
876,0.154651,0.301501
938,0.11922,0.289842
# cluster 102 centroid,0.137676,0.809216
# index,x0,x1
13,0.169795,0.797914
151,0.119806,0.755407
352,0.123578,0.841749
708,0.1038,0.842166
733,0.158791,0.824368
823,0.151936,0.789666
875,0.136026,0.813245
# cluster 103 centroid,0.135432,0.148391
# index,x0,x1
50,0.153996,0.156457
262,0.134607,0.158913
338,0.171926,0.144686
698,0.100578,0.132374
927,0.116051,0.149528
# cluster 104 centroid,0.708651,0.176687
# index,x0,x1
40,0.698352,0.233267
81,0.714355,0.169498
127,0.750588,0.152392
345,0.739523,0.189163
362,0.711611,0.216136
398,0.673753,0.188995
399,0.700589,0.151105
413,0.710924,0.200758
490,0.716446,0.12424
775,0.676268,0.189161
805,0.697479,0.201252
902,0.710512,0.150722
929,0.71207,0.13024
# cluster 105 centroid,0.316627,0.28362
# index,x0,x1
39,0.330426,0.270459
213,0.307722,0.294673
732,0.311732,0.285727
# cluster 106 centroid,0.0272607,0.0699175
# index,x0,x1
276,0.0643887,0.110556
380,0.00740758,0.0641258
403,0.0159131,0.0765928
460,0.0370288,0.0859059
541,0.0150273,0.0403662
677,0.00800315,0.0472289
847,0.041473,0.0446958
956,0.0288442,0.0898692
# cluster 107 centroid,0.758128,0.230275
# index,x0,x1
74,0.739011,0.269117
126,0.801685,0.205252
185,0.762862,0.225869
453,0.787476,0.199949
514,0.749792,0.267148
563,0.713789,0.248477
722,0.752423,0.237013
727,0.757987,0.189374
# cluster 108 centroid,0.305099,0.567908
# index,x0,x1
420,0.293875,0.5529
437,0.324473,0.587148
456,0.319068,0.577108
604,0.28298,0.554477
# cluster 109 centroid,0.829149,0.95662
# index,x0,x1
84,0.802885,0.933076
98,0.830999,0.978709
99,0.860602,0.928671
429,0.838059,0.965294
577,0.811225,0.978081
681,0.848521,0.980977
704,0.82265,0.96953
799,0.841633,0.916731
810,0.805769,0.958507
# cluster 110 centroid,0.807715,0.129194
# index,x0,x1
287,0.829479,0.114226
489,0.782943,0.135384
531,0.859226,0.116756
581,0.78787,0.137205
724,0.77871,0.162866
